,States to Learn
0,Wyoming
1,North Carolina
2,Delaware
3,Colorado
4,South Carolina
5,Georgia
6,California
7,Texas
8,Montana
9,Virginia
10,Illinois
11,West Virginia
12,Vermont
13,Indiana
14,New Jersey
15,Alaska
16,Idaho
17,Mississippi
18,Kentucky
19,Rhode Island
20,New Hampshire
21,Utah
22,Connecticut
23,Nevada
24,New Mexico
25,Florida
26,Arkansas
27,Oklahoma
28,Louisiana
29,Missouri
30,Minnesota
31,Arizona
32,Maine
33,Hawaii
34,Nebraska
35,Wisconsin
36,Iowa
37,Kansas
38,Pennsylvania
39,North Dakota
40,Washington
41,South Dakota
42,Michigan
43,Alabama
44,Maryland
45,New York
46,Oregon
47,Massachusetts
48,Tennessee
